
000-(0): D_cost: 8.680  Wasserstein_D: 0.171  G_cost: 0.218  
000-(1): D_cost: 6.711  Wasserstein_D: 0.587  G_cost: 0.592  
000-(2): D_cost: 3.142  Wasserstein_D: 1.514  G_cost: 1.372  
000-(3): D_cost: -1.770  Wasserstein_D: 3.324  G_cost: 2.866  
000-(4): D_cost: -6.193  Wasserstein_D: 6.238  G_cost: 5.136  
000-(5): D_cost: -8.811  Wasserstein_D: 9.491  G_cost: 7.342  
000-(6): D_cost: -10.487  Wasserstein_D: 11.629  G_cost: 8.543  
000-(7): D_cost: -11.587  Wasserstein_D: 13.038  G_cost: 8.501  
000-(8): D_cost: -12.405  Wasserstein_D: 14.158  G_cost: 7.919  
000-(9): D_cost: -12.978  Wasserstein_D: 15.133  G_cost: 7.822  
000-(10): D_cost: -13.305  Wasserstein_D: 15.585  G_cost: 7.830  
000-(11): D_cost: -13.308  Wasserstein_D: 15.636  G_cost: 8.189  
000-(12): D_cost: -13.392  Wasserstein_D: 15.706  G_cost: 8.684  
000-(13): D_cost: -13.259  Wasserstein_D: 15.762  G_cost: 8.837  
000-(14): D_cost: -13.274  Wasserstein_D: 15.790  G_cost: 8.246  
000-(15): D_cost: -13.204  Wasserstein_D: 15.827  G_cost: 7.412  
000-(16): D_cost: -13.124  Wasserstein_D: 15.791  G_cost: 6.348  
000-(17): D_cost: -13.030  Wasserstein_D: 15.736  G_cost: 5.744  
000-(18): D_cost: -12.771  Wasserstein_D: 15.498  G_cost: 4.962  
000-(19): D_cost: -12.522  Wasserstein_D: 15.165  G_cost: 4.806  
000-(20): D_cost: -12.518  Wasserstein_D: 14.974  G_cost: 3.952  
000-(21): D_cost: -12.244  Wasserstein_D: 14.922  G_cost: 4.080  
000-(22): D_cost: -12.095  Wasserstein_D: 14.781  G_cost: 4.686  
000-(23): D_cost: -12.066  Wasserstein_D: 14.489  G_cost: 4.911  
000-(24): D_cost: -11.879  Wasserstein_D: 14.360  G_cost: 4.512  
000-(25): D_cost: -11.545  Wasserstein_D: 13.874  G_cost: 4.206  
000-(26): D_cost: -11.337  Wasserstein_D: 13.505  G_cost: 2.952  
000-(27): D_cost: -11.122  Wasserstein_D: 13.106  G_cost: 1.641  
000-(28): D_cost: -11.347  Wasserstein_D: 13.515  G_cost: 2.162  
000-(29): D_cost: -11.219  Wasserstein_D: 13.453  G_cost: 2.865  
000-(30): D_cost: -10.973  Wasserstein_D: 13.234  G_cost: 3.908  
000-(31): D_cost: -11.021  Wasserstein_D: 13.154  G_cost: 3.513  
000-(32): D_cost: -10.962  Wasserstein_D: 12.922  G_cost: 3.104  
000-(33): D_cost: -10.948  Wasserstein_D: 13.213  G_cost: 3.516  
000-(34): D_cost: -10.577  Wasserstein_D: 12.692  G_cost: 2.943  
000-(35): D_cost: -10.652  Wasserstein_D: 12.699  G_cost: 1.886  
000-(36): D_cost: -10.087  Wasserstein_D: 11.957  G_cost: 1.492  
000-(37): D_cost: -10.076  Wasserstein_D: 11.735  G_cost: 0.494  
000-(38): D_cost: -10.223  Wasserstein_D: 12.077  G_cost: 1.877  
000-(39): D_cost: -10.113  Wasserstein_D: 11.869  G_cost: 3.046  
000-(40): D_cost: -10.174  Wasserstein_D: 11.903  G_cost: 4.893  
000-(41): D_cost: -10.372  Wasserstein_D: 12.199  G_cost: 4.730  
000-(42): D_cost: -10.360  Wasserstein_D: 12.251  G_cost: 4.387  
000-(43): D_cost: -10.148  Wasserstein_D: 12.031  G_cost: 2.999  
000-(44): D_cost: -10.026  Wasserstein_D: 11.940  G_cost: 1.677  
000-(45): D_cost: -9.873  Wasserstein_D: 11.674  G_cost: 1.110  
000-(46): D_cost: -9.983  Wasserstein_D: 11.870  G_cost: 0.582  
000-(47): D_cost: -9.888  Wasserstein_D: 11.926  G_cost: 1.201  
000-(48): D_cost: -9.844  Wasserstein_D: 11.643  G_cost: 1.386  
000-(49): D_cost: -10.183  Wasserstein_D: 12.168  G_cost: 1.615  
000-(50): D_cost: -10.142  Wasserstein_D: 12.218  G_cost: 1.959  
000-(51): D_cost: -10.144  Wasserstein_D: 11.973  G_cost: 0.698  
000-(52): D_cost: -9.651  Wasserstein_D: 11.376  G_cost: 0.475  
000-(53): D_cost: -9.268  Wasserstein_D: 10.895  G_cost: 0.284  
000-(54): D_cost: -9.073  Wasserstein_D: 10.587  G_cost: 1.455  
000-(55): D_cost: -9.195  Wasserstein_D: 10.696  G_cost: 2.790  
000-(56): D_cost: -9.734  Wasserstein_D: 11.229  G_cost: 3.177  
000-(57): D_cost: -10.220  Wasserstein_D: 12.076  G_cost: 4.191  
000-(58): D_cost: -10.569  Wasserstein_D: 12.578  G_cost: 4.683  
000-(59): D_cost: -10.504  Wasserstein_D: 12.548  G_cost: 4.933  
000-(60): D_cost: -10.248  Wasserstein_D: 12.403  G_cost: 4.129  
000-(61): D_cost: -9.849  Wasserstein_D: 11.739  G_cost: 2.523  
000-(62): D_cost: -9.577  Wasserstein_D: 11.444  G_cost: 1.264  
000-(63): D_cost: -9.580  Wasserstein_D: 11.361  G_cost: -0.096  
000-(64): D_cost: -9.510  Wasserstein_D: 11.162  G_cost: -1.712  
000-(65): D_cost: -9.611  Wasserstein_D: 11.799  G_cost: -1.239  
000-(66): D_cost: -9.892  Wasserstein_D: 11.792  G_cost: -1.417  
000-(67): D_cost: -9.785  Wasserstein_D: 12.010  G_cost: 0.204  
000-(68): D_cost: -9.923  Wasserstein_D: 11.743  G_cost: 0.046  
000-(69): D_cost: -9.997  Wasserstein_D: 11.902  G_cost: -0.299  
000-(70): D_cost: -9.939  Wasserstein_D: 12.084  G_cost: -0.597  
000-(71): D_cost: -10.126  Wasserstein_D: 12.441  G_cost: -0.930  
000-(72): D_cost: -10.106  Wasserstein_D: 12.178  G_cost: -0.960  
000-(73): D_cost: -10.261  Wasserstein_D: 12.105  G_cost: -1.225  
000-(74): D_cost: -10.182  Wasserstein_D: 12.210  G_cost: -0.169  
000-(75): D_cost: -10.030  Wasserstein_D: 11.824  G_cost: 0.562  
000-(76): D_cost: -10.078  Wasserstein_D: 11.963  G_cost: 0.181  
000-(77): D_cost: -10.194  Wasserstein_D: 12.041  G_cost: 0.499  
000-(78): D_cost: -10.242  Wasserstein_D: 12.149  G_cost: 1.521  
000-(79): D_cost: -10.312  Wasserstein_D: 12.363  G_cost: 2.284  
000-(80): D_cost: -10.373  Wasserstein_D: 12.420  G_cost: 1.713  
000-(81): D_cost: -10.178  Wasserstein_D: 11.950  G_cost: 1.282  
000-(82): D_cost: -10.201  Wasserstein_D: 12.149  G_cost: 0.596  
000-(83): D_cost: -9.949  Wasserstein_D: 11.775  G_cost: -1.072  
000-(84): D_cost: -9.708  Wasserstein_D: 11.447  G_cost: -1.277  
000-(85): D_cost: -9.445  Wasserstein_D: 11.097  G_cost: -0.566  
000-(86): D_cost: -9.250  Wasserstein_D: 10.826  G_cost: -0.764  
000-(87): D_cost: -9.689  Wasserstein_D: 11.255  G_cost: -0.397  
000-(88): D_cost: -9.844  Wasserstein_D: 11.856  G_cost: 1.490  
000-(89): D_cost: -9.960  Wasserstein_D: 11.759  G_cost: 1.414  
000-(90): D_cost: -10.186  Wasserstein_D: 12.129  G_cost: 1.729  
000-(91): D_cost: -10.113  Wasserstein_D: 11.749  G_cost: 1.261  
000-(92): D_cost: -10.376  Wasserstein_D: 12.145  G_cost: 1.477  
000-(93): D_cost: -10.127  Wasserstein_D: 12.051  G_cost: 1.601  
000-(94): D_cost: -10.105  Wasserstein_D: 11.791  G_cost: 0.860  
000-(95): D_cost: -9.870  Wasserstein_D: 11.821  G_cost: 0.042  
000-(96): D_cost: -9.789  Wasserstein_D: 11.621  G_cost: 0.297  
000-(97): D_cost: -9.685  Wasserstein_D: 11.668  G_cost: 0.603  
000-(98): D_cost: -9.573  Wasserstein_D: 10.974  G_cost: -1.759  
000-(99): D_cost: -9.676  Wasserstein_D: 11.528  G_cost: -1.208  
000-(100): D_cost: -9.900  Wasserstein_D: 11.644  G_cost: -0.908  
000-(101): D_cost: -9.977  Wasserstein_D: 11.342  G_cost: -0.752  
000-(102): D_cost: -9.844  Wasserstein_D: 11.656  G_cost: 0.245  
000-(103): D_cost: -9.966  Wasserstein_D: 11.837  G_cost: 0.247  
000-(104): D_cost: -10.050  Wasserstein_D: 11.920  G_cost: 0.603  
000-(105): D_cost: -9.783  Wasserstein_D: 11.484  G_cost: 0.391  
000-(106): D_cost: -9.819  Wasserstein_D: 11.651  G_cost: -0.270  
000-(107): D_cost: -9.682  Wasserstein_D: 11.736  G_cost: -1.322  
000-(108): D_cost: -9.815  Wasserstein_D: 11.982  G_cost: -1.336  
000-(109): D_cost: -10.031  Wasserstein_D: 11.899  G_cost: -1.562  
000-(110): D_cost: -9.899  Wasserstein_D: 11.638  G_cost: -1.329  
000-(111): D_cost: -9.570  Wasserstein_D: 11.011  G_cost: -0.606  
000-(112): D_cost: -9.714  Wasserstein_D: 11.787  G_cost: 0.632  
000-(113): D_cost: -9.806  Wasserstein_D: 11.776  G_cost: 2.253  
000-(114): D_cost: -9.986  Wasserstein_D: 11.817  G_cost: 2.356  
000-(115): D_cost: -9.936  Wasserstein_D: 11.782  G_cost: 2.078  
000-(116): D_cost: -9.599  Wasserstein_D: 11.684  G_cost: 2.209  
001-(0): D_cost: -9.748  Wasserstein_D: 11.507  G_cost: 1.645  
001-(1): D_cost: -9.520  Wasserstein_D: 11.345  G_cost: 1.352  
001-(2): D_cost: -9.615  Wasserstein_D: 11.511  G_cost: -0.267  
001-(3): D_cost: -9.493  Wasserstein_D: 11.347  G_cost: 0.184  
001-(4): D_cost: -9.373  Wasserstein_D: 10.939  G_cost: -0.466  
001-(5): D_cost: -9.075  Wasserstein_D: 10.868  G_cost: -0.309  
001-(6): D_cost: -8.905  Wasserstein_D: 10.715  G_cost: -1.110  
001-(7): D_cost: -9.254  Wasserstein_D: 10.629  G_cost: -0.998  
001-(8): D_cost: -9.394  Wasserstein_D: 11.074  G_cost: 0.061  
001-(9): D_cost: -9.514  Wasserstein_D: 11.314  G_cost: 1.224  
001-(10): D_cost: -9.259  Wasserstein_D: 11.133  G_cost: 2.880  
001-(11): D_cost: -9.581  Wasserstein_D: 11.492  G_cost: 4.166  
001-(12): D_cost: -9.455  Wasserstein_D: 11.169  G_cost: 4.123  
001-(13): D_cost: -9.482  Wasserstein_D: 11.141  G_cost: 4.158  
001-(14): D_cost: -9.720  Wasserstein_D: 11.511  G_cost: 4.569  
001-(15): D_cost: -9.813  Wasserstein_D: 11.648  G_cost: 5.104  
